,Task Completion,Naturalness for user simulator,Naturalness for TOD system,Coherence for user simulator,Coherence for TOD system,Dialogue-level diversity for user simulator
0,0,4,3,1,1,1
1,0,4,3,3,3,2
2,1,4,4,3,3,2
3,0,2,2,1,1,1
4,1,4,3,2,2,1
5,1,4,4,3,3,2
6,1,4,4,3,3,2
7,0,4,2,2,1,1
8,0,2,2,1,1,1
9,1,3,3,2,3,2
10,1,4,4,3,3,2
11,0,4,3,3,3,2
12,1,3,2,2,2,1
13,0,4,3,2,2,2
14,1,1,1,1,1,1
15,0,3,2,2,2,2
16,1,4,4,3,3,2
17,1,4,4,3,3,2
18,0,4,4,3,3,2
19,1,3,3,3,3,1
20,1,4,2,3,2,2
21,0,2,2,1,1,1
22,1,4,4,3,3,2
23,1,4,4,3,3,2
24,0,1,1,1,1,1
25,0,1,3,1,2,1
26,0,4,3,3,3,2
27,1,4,4,3,3,2
28,1,4,3,3,2,2
29,1,1,1,1,1,1
30,0,2,2,2,2,1
31,0,2,2,3,2,1
32,1,4,4,3,2,2
33,1,4,4,3,3,2
34,1,2,4,2,2,1
35,1,4,2,3,2,1
36,1,2,2,2,2,1
37,0,4,2,3,2,2
38,1,1,1,1,1,1
39,1,3,3,2,3,2
40,1,1,1,1,1,1
41,1,2,3,2,2,1
42,1,1,2,1,1,1
43,1,4,4,3,3,2
44,1,4,3,3,3,2
45,0,3,2,3,1,1
46,0,2,3,1,2,1
47,0,3,3,2,2,1
48,0,3,2,2,2,1
49,1,1,1,1,1,1
0,1,4,4,3,3,2
1,1,4,2,3,1,1
2,1,4,4,3,3,2
3,1,3,2,1,1,1
4,1,4,2,3,2,1
5,0,3,1,2,2,1
6,1,4,3,3,3,2
7,0,2,2,1,1,1
8,0,4,2,3,2,2
9,1,2,4,2,2,2
10,1,4,3,3,2,1
11,1,4,2,3,2,1
12,0,3,2,2,1,2
13,1,4,4,3,3,2
14,1,4,3,2,1,2
15,0,1,1,2,1,1
16,0,4,2,2,2,1
17,0,4,3,2,2,2
18,0,1,1,1,1,1
19,0,2,2,3,2,1
20,1,2,3,2,2,2
21,0,1,1,1,1,1
22,1,3,3,2,2,1
23,0,4,4,3,3,2
24,0,1,1,1,1,1
25,1,4,4,3,3,2
26,1,4,3,3,2,1
27,1,4,2,3,1,1
28,0,2,2,2,2,1
29,1,4,3,3,2,1
30,1,4,4,3,3,2
31,1,5,4,3,3,2
32,1,2,1,2,2,1
33,0,1,1,1,1,1
34,0,1,3,1,2,1
35,1,4,4,2,2,1
36,0,3,2,2,2,1
37,1,4,4,3,3,2
38,1,4,3,2,2,2
39,1,2,3,2,2,1
40,1,5,4,3,3,2
41,1,4,4,3,3,2
42,1,1,1,1,1,1
43,1,3,2,2,2,2
44,1,5,4,3,2,1
45,1,3,3,2,2,1
46,1,4,3,3,3,2
47,1,2,3,3,3,1
48,0,1,1,1,1,1
49,1,4,4,3,3,2
0,1,4,4,3,3,2
1,0,2,2,1,1,1
2,1,4,2,3,2,2
3,1,4,4,3,3,2
4,0,2,3,1,2,1
5,0,2,3,2,3,1
6,1,2,1,1,2,2
7,1,4,3,3,2,1
8,1,4,3,3,2,1
9,1,2,4,2,3,2
10,1,3,2,3,3,1
11,0,2,4,1,2,1
12,0,4,2,1,1,1
13,1,2,1,2,2,1
14,0,4,2,3,1,2
15,1,4,4,3,2,1
16,1,4,3,3,3,2
17,1,3,2,1,1,1
18,1,4,4,3,3,2
19,0,1,1,2,1,1
20,1,4,2,3,3,1
21,1,3,4,2,2,2
22,1,4,3,3,2,2
23,0,2,3,2,3,2
24,1,4,4,3,3,1
25,1,4,4,3,3,2
26,1,4,3,3,2,2
27,1,2,3,2,2,1
28,1,2,4,2,3,1
29,0,3,2,2,1,1
30,0,4,2,2,2,2
31,1,4,3,3,2,1
32,0,3,2,2,1,1
33,0,4,3,2,1,1
34,1,5,5,3,2,2
35,1,2,2,2,2,1
36,1,4,4,3,3,2
37,0,1,1,2,1,2
38,1,2,1,1,1,1
39,1,2,4,2,3,1
40,1,4,3,3,3,2
41,1,5,4,3,3,1
42,0,2,1,1,2,1
43,1,4,4,3,3,2
44,1,2,2,3,2,1
45,1,3,3,2,2,1
46,1,4,4,3,3,2
47,1,2,2,2,1,1
48,1,2,2,2,2,1
49,1,4,4,3,3,2
